,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2008/02/11,1東京4,晴,10,雲雀S(1600万下),200805010410,,16,8,15,5.2,3,7,村田一誠,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,0.2,**,3-3,34.6-35.4,35.3,508(-10),,,ハイソサエティー,
1,2007/12/02,5中山2,晴,10,市川S(1600万下),200706050210,,16,5,10,3.7,2,4,吉田隼人,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,0.3,**,4-6,33.2-35.1,35.3,518(+8),,,テンイムホウ,270.0
2,2007/10/20,4京都6,晴,9,保津峡特別(1000万下),200708040609,,18,1,2,2.6,1,1,岩田康誠,58,0.0,1.0,1400,1.0,0.0,0.0,0.0,**,1:22.5,0.0,**,3-3,36.0-34.2,33.9,510(+4),,,(シャイナムスメ),"1,526.2"
3,2007/09/29,4阪神7,曇,10,芦屋川特別(1000万下),200709040710,,11,6,6,1.6,1,2,福永祐一,57,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:20.8,0.0,**,1-1,34.8-34.5,34.5,506(0),,,トーホウファイター,597.2
4,2007/08/12,1札幌2,晴,12,羊ヶ丘特別(1000万下),200701010212,,14,6,10,2.2,1,8,川田将雅,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.5,0.7,**,3-3,33.4-35.4,35.5,506(+4),,,レヴリ,
5,2007/02/24,2中山1,晴,11,韓国馬事会杯(1600万下),200706020111,,14,4,8,3.0,1,8,田中勝春,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:09.6,0.8,**,4-4,32.7-36.1,36.6,502(+2),,,ジョリーダンス,
6,2007/01/20,1中山6,曇,11,サンライズS(1600万下),200706010611,,16,2,3,3.2,1,2,後藤浩輝,57,0.0,1.0,1200,0.0,1.0,0.0,0.0,**,1:08.5,0.4,**,8-5,33.1-35.0,34.8,500(+2),,,アイルラヴァゲイン,741.2
7,2006/12/17,5中山6,晴,10,アクアラインS(1600万下),200606050610,,15,1,1,2.8,1,9,後藤浩輝,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:11.6,0.9,**,7-5,33.4-37.3,37.7,498(0),,,スリーアベニュー,
8,2006/10/29,4東京8,晴,10,白秋S(1600万下),200605040810,,16,6,12,3.3,2,2,武豊,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.5,0.2,**,9-8,35.6-34.2,33.6,498(-8),,,ブラックバースピン,741.2
9,2006/10/07,4東京1,晴,11,アイルランドT(1600万下),200605040111,,16,8,15,9.1,4,6,後藤浩輝,55,0.0,1.0,1600,1.0,0.0,0.0,0.0,**,1:33.9,0.6,**,3-3,35.0-34.9,35.3,506(+4),,,ニシノナースコール,
10,2006/05/07,2東京6,雨,11,NHKマイルC(G1),200605020611,,18,7,13,13.4,5,9,後藤浩輝,57,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:34.3,1.1,**,7-6,34.2-35.7,36.5,502(-2),,,ロジック,
11,2006/01/28,1東京1,晴,9,クロッカスS(OP),200605010109,,9,2,2,1.5,1,1,武豊,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,0.0,**,4-3,35.0-34.7,34.3,504(-2),,,(ステキシンスケクン),"1,922.4"
12,2006/01/05,1中山1,晴,10,ジュニアC(OP),200606010110,,12,5,5,2.9,1,2,後藤浩輝,56,0.0,1.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.0,**,1-1-1,34.9-35.8,35.8,506(+8),,,キンシャサノキセキ,769.2
13,2005/08/07,2函館8,曇,9,函館2歳S(G3),200502020809,,11,8,11,1.3,1,3,武豊,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,,1:10.8,0.1,,2-2,34.1-36.6,36.6,498(-2),,,モエレジーニアス,805.5
14,2005/06/19,1函館2,晴,5,2歳新馬,200502010205,,8,4,4,1.4,1,1,デザーモ,54,0.0,1.0,1200,0.0,1.0,0.0,0.0,,1:09.9,-0.6,,3-1,34.7-35.2,34.9,500(0),,,(タキオンバッハ),700.0
