,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,障,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2007/03/03,2中山3,曇,11,夕刊フジオーシャンS(G3),200706020311,,16,3,5,14.9,6,10,川田将雅,56,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.1,0.9,**,16-14,33.5-34.7,34.4,470(-6),,,アイルラヴァゲイン,
1,2007/02/03,2京都3,晴,11,山城S(1600万下),200708020311,,16,3,5,3.7,1,1,川田将雅,57,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.4,0.0,**,13-12,33.8-34.6,33.3,476(0),,,(コマノルカン),"1,865.0"
2,2007/01/06,1京都1,曇,10,新春S(1600万下),200708010110,,16,6,11,6.0,4,4,川田将雅,57,1.0,0.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.4,0.2,**,15-14,33.8-35.4,34.2,476(-6),,,エムオーウイナー,270.0
3,2006/12/10,3阪神4,曇,10,六甲アイランドS(1600万下),200609030410,,16,8,16,3.8,1,14,藤岡佑介,56,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.7,0.9,**,11-11,34.1-34.7,34.7,482(+10),,,ナリタシークレット,
4,2006/10/15,5京都4,晴,9,壬生特別(1000万下),200608050409,,12,7,9,2.2,1,1,岩田康誠,57,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.2,-0.2,**,7-7,33.5-34.7,33.8,472(+2),,,(ミスターケビン),"1,509.4"
5,2006/09/24,3中京6,晴,10,刈谷特別(1000万下),200607030610,,12,8,12,5.7,3,2,川田将雅,57,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:08.3,0.2,**,7-5,33.7-34.4,34.2,470(+16),,,メイショウトッパー,598.8
6,2006/04/02,3中山4,曇,11,ダービー卿チャレンジ(G3),200606030411,,16,4,7,123.2,16,13,松岡正海,53,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:33.3,0.9,**,13-13-13,35.1-34.3,33.6,454(+6),,,グレイトジャーニー,
7,2006/03/19,2中山8,曇,10,東風S(OP),200606020810,,14,6,10,122.3,13,6,松岡正海,55,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:34.8,1.2,**,10-11-11,34.3-36.2,36.0,448(-4),,,インセンティブガイ,
8,2006/02/26,1阪神2,曇,11,阪急杯(G3),200609010211,,15,2,2,154.0,14,10,池添謙一,56,1.0,0.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.3,0.8,**,8-8,34.6-36.2,36.0,452(-10),,,ブルーショットガン,
9,2006/02/19,2京都8,晴,4,障害4歳上未勝利,200608020804,,14,4,5,5.2,3,中,今村康成,59,0.0,1.0,0.0,2930,0.0,0.0,1.0,0.0,,,,,,107.0-39.0,,462(+2),,,ブライアンスキー,
10,2006/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),200608010111,,16,1,2,162.8,16,16,生野賢一,53,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,**,1:36.1,2.1,**,15-16,35.1-34.9,35.7,460(+4),,,ビッグプラネット,
11,2005/11/27,5京都8,晴,11,アンドロメダS(OP),200508050811,,18,7,15,60.1,13,16,生野賢一,53,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,,1:09.5,1.0,,18-16,34.5-34.0,33.9,456(+16),,,マルカキセキ,
12,2005/05/29,3東京4,晴,10,東京優駿(G1),200505030410,,18,8,16,180.7,18,18,松岡正海,57,1.0,0.0,0.0,2400,0.0,0.0,1.0,0.0,,2:27.5,4.2,,3-3-3-5,35.5-34.5,38.2,440(-10),,,ディープインパクト,
13,2005/05/08,2東京6,曇,11,NHKマイルC(G1),200505020611,,18,5,10,29.3,9,17,上村洋行,57,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:35.7,2.1,,11-13,35.5-34.2,35.0,450(-2),,,ラインクラフト,
14,2005/04/24,3京都2,晴,10,橘S(OP),200508030210,,10,8,9,7.0,5,1,生野賢一,56,1.0,0.0,0.0,1200,0.0,0.0,1.0,0.0,,1:08.1,-0.2,,10-9,33.6-34.5,33.6,452(-2),,,(テイエムチュラサン),"1,923.1"
15,2005/04/10,2阪神6,晴,6,3歳500万下,200509020606,,14,5,8,8.9,4,1,生野賢一,53,1.0,0.0,0.0,1400,0.0,0.0,1.0,0.0,,1:21.3,-0.4,,14-9,34.2-35.5,34.4,454(+2),,,(トロピカルシャドウ),700.0
16,2005/03/26,2阪神1,曇,11,毎日杯(G3),200509020111,,14,4,5,107.6,11,13,四位洋文,56,1.0,0.0,0.0,2000,0.0,0.0,1.0,0.0,,2:04.0,1.8,,11-11-9-10,37.4-34.7,35.7,452(-4),,,ローゼンクロイツ,
17,2005/01/09,1京都3,晴,9,福寿草特別(500万下),200508010309,,12,2,2,9.7,5,9,四位洋文,56,1.0,0.0,0.0,2000,0.0,0.0,1.0,0.0,,2:04.6,0.8,,4-4-2-3,37.5-35.9,36.6,456(+4),,,トウカイブラボー,
18,2004/11/14,5京都4,曇,9,黄菊賞(500万下),200408050409,,9,5,5,3.8,2,7,赤木高太,55,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,,1:50.0,0.5,,6-6,36.5-34.5,34.4,452(-4),,,シルクネクサス,
19,2004/10/31,3福島4,曇,10,きんもくせい特別(500万下),200403030410,,10,5,5,2.1,1,2,赤木高太,55,1.0,0.0,0.0,1700,0.0,1.0,0.0,0.0,,1:44.0,0.2,,9-9-8-6,30.0-35.9,35.4,456(+6),,,カネサマンゲツ,407.2
20,2004/10/03,4阪神8,曇,5,2歳新馬,200409040805,,9,1,1,2.4,1,1,赤木高太,55,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:39.0,-0.2,,9-9-7,38.9-34.8,34.1,450(0),,,(ホッコーパドゥシャ),700.0
