,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/06/06,盛岡,晴,10,岩手山レースA一組,201135060610,,9,7,7,55.7,9,中,南郷家全,55.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,,,,,8-8-7-9,,,456(+6),,,コアレスレーサー,
1,2011/01/10,水沢,曇,10,FINALDREAM,201136011010,,10,8,10,30.2,8,7,南郷家全,56.0,1.0,0.0,0.0,1800,1.0,0.0,0.0,0.0,,2:03.6,3.8,,3-3-7-7,,43.8,450(0),,,ブラストクロノス,
2,2010/12/19,水沢,曇,10,白嶺賞(OP),201036121910,,11,8,10,45.2,8,8,南郷家全,57.0,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,,1:43.7,2.8,,9-9-9-9,,40.2,450(-5),,,ダイメイジュエリー,
3,2010/12/06,水沢,曇,10,胆沢ダム学習館レース,201036120610,,8,4,4,30.9,7,6,高松亮,56.0,1.0,0.0,0.0,1800,1.0,0.0,0.0,0.0,,1:58.5,2.5,,2-2-3-4,,40.3,455(+4),,,コアレスレーサー,
4,2010/11/07,水沢,晴,10,北上川大賞典(OP),201036110710,,7,2,2,39.5,6,7,高松亮,57.0,1.0,0.0,0.0,2500,0.0,1.0,0.0,0.0,,2:53.1,6.1,,7-7-7-7,,44.1,451(+5),,,メイホウホップ,
5,2010/10/11,盛岡,晴,10,マイルチャンピオンシ(G1),201035101110,,12,5,5,538.1,8,12,高松亮,57.0,1.0,0.0,0.0,1600,0.0,1.0,0.0,0.0,,1:40.5,5.7,,9-12,,38.8,446(+6),,,オーロマイスター,
6,2010/09/13,水沢,曇,10,青藍賞(OP),201036091310,,7,4,4,21.1,6,5,高松亮,57.0,1.0,0.0,0.0,1600,1.0,0.0,0.0,0.0,,1:40.2,1.1,,7-7-7-7,,38.0,440(-11),,,マイネベリンダ,15.0
7,2010/08/15,盛岡,曇,10,桂樹杯(OP),201035081510,,12,1,1,3.3,1,4,斉藤雄一,57.0,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,,1:42.8,1.0,,3-3,,40.3,451(-2),,,マルブツコンバット,10.5
8,2010/08/02,盛岡,曇,11,バラ輝石マリンローズ,201035080211,,7,1,1,10.4,6,1,菅原勲,55.0,1.0,0.0,0.0,1600,0.0,0.0,1.0,0.0,,1:40.3,-0.4,,5-4,,38.3,453(+3),,,(ジョウテンロマン),58.0
9,2010/07/05,水沢,曇,10,岩鷲賞(OP),201036070510,,11,8,10,54.2,10,9,斉藤雄一,57.0,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,,1:28.0,1.4,,9-8-7-10,,39.0,450(-3),,,ゴールドマイン,
10,2010/06/06,盛岡,晴,10,かきつばた賞(OP),201035060610,,9,2,2,10.3,5,5,斉藤雄一,57.0,0.0,1.0,0.0,2400,0.0,0.0,1.0,0.0,,2:34.4,0.8,,4-6-5-5,,37.7,453(+3),,,コンバットキック,4.5
11,2010/05/23,盛岡,曇,10,あすなろ賞(OP),201035052310,,8,1,1,19.8,5,6,斉藤雄一,57.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,,1:58.4,2.5,,1-1-1-4,,40.7,450(+7),,,ダンストンリアル,
12,2010/05/10,水沢,晴,10,くずまき高原牧場まつ,201036051010,,9,1,1,11.0,3,4,斉藤雄一,55.0,1.0,0.0,0.0,1800,0.0,0.0,1.0,0.0,,1:58.8,1.0,,6-6-6-6,,40.0,443(-18),,,コンバットキック,4.1
13,2010/04/08,大井,晴,11,ゆりかもめオープン競(OP),201044040811,,10,8,9,14.2,5,10,真島大輔,56.5,1.0,0.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:30.2,4.7,**,10-8-8,36.3-37.3,40.8,461(-2),,,チヨノドラゴン,
14,2010/03/17,大井,晴,11,マイルグランプリ競走(OP),201044031711,,16,2,3,170.5,14,14,和田譲治,56.0,1.0,0.0,0.0,1600,0.0,0.0,0.0,1.0,**,1:43.0,2.0,**,15-15-15-16,36.5-40.1,40.6,463(-5),,,クレイアートビュン,
15,2010/03/03,大井,晴,11,東京スプリング盃競走(OP),201044030311,,16,1,2,93.7,12,12,和田譲治,58.0,1.0,0.0,0.0,1400,0.0,0.0,0.0,1.0,**,1:28.3,2.8,**,16-16-16,34.9-38.5,38.4,468(+20),,,フジノウェーブ,
16,2009/07/11,2福島7,晴,8,福島ジャンプS(OP),200903020708,,13,4,4,7.8,3,10,平沢健治,59.0,0.0,0.0,1.0,3380,0.0,0.0,1.0,0.0,,3:50.2,5.6,,7-7-11-10,105.0-38.8,13.6,448(-4),,,ドクターグリム,
17,2009/06/21,3阪神2,曇,3,障害3歳上OP,200909030203,,14,2,2,9.3,4,11,平沢健治,60.0,0.0,0.0,1.0,3110,0.0,1.0,0.0,0.0,,3:29.6,3.0,,14-13-12-11,106.0-39.7,13.5,452(-2),,,ドングラシアス,
18,2009/03/28,3中山1,晴,8,ペガサスジャンプS(OP),200906030108,,14,6,9,2.9,1,8,平沢健治,60.0,0.0,0.0,1.0,3350,0.0,0.0,1.0,0.0,,3:46.0,1.1,,2-2-2-3,108.0-38.9,13.5,454(-4),,,オープンガーデン,
19,2009/02/08,1東京4,晴,4,障害4歳上未勝利,200905010404,,14,5,8,2.2,1,1,平沢健治,60.0,0.0,0.0,1.0,3000,0.0,0.0,1.0,0.0,,3:22.0,-1.1,,2-2-1-1,107.0-40.9,13.5,458(0),,,(アラメダキング),780.0
