,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,不,重,17,18,19,20,21,22,23,24,25,26,27,28
0,2017/03/12,2中京2,晴,11,トリトンS(1600万下),201707020211,,17,4,7,8.3,4,8,川須栄彦,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.4,0.8,**,10-10,33.3-35.1,35.0,498(-4),,,トーセンデューク,
1,2017/02/19,2京都8,晴,11,斑鳩S(1600万下),201708020811,,13,2,2,7.2,3,6,川須栄彦,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:23.0,0.2,**,2-2,37.0-34.6,34.7,502(+12),,,キングハート,
2,2016/11/19,5京都5,曇,12,3歳上1000万下,201608050512,,14,6,10,6.6,4,1,浜中俊,57,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.2,-0.2,**,2-2,36.4-34.2,34.0,490(+2),,,(ビットレート),"1,050.0"
3,2016/08/14,2小倉6,晴,10,西部日刊スポーツ杯(1000万下),201610020610,,18,8,17,6.2,4,5,バルジュ,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.7,0.3,**,14-13,33.4-35.0,34.2,488(+8),,,レーヴムーン,150.0
4,2016/07/17,3中京6,曇,12,フィリピンT(1000万下),201607030612,,16,7,13,2.8,1,4,Ｍ．デム,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.4,0.5,**,1-2,34.1-33.8,34.2,480(-2),,,メラグラーナ,230.0
5,2016/06/11,3阪神3,晴,10,舞子特別(1000万下),201609030310,,15,4,7,3.7,2,4,浜中俊,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.7,0.4,**,3-2,33.7-34.9,35.0,482(-2),,,ベステンダンク,230.0
6,2015/11/15,5東京4,晴,11,オーロC(OP),201505050411,,18,8,18,3.5,1,13,田辺裕信,55,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:23.0,1.3,**,13-9,35.5-34.3,34.8,484(+2),,,ロサギガンティア,
7,2015/08/30,2新潟10,小雨,10,朱鷺S(OP),201504021010,,17,1,1,3.9,1,2,田辺裕信,53,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:20.6,0.2,**,5-5,33.8-35.0,34.8,482(+6),,,ベステゲシェンク,890.2
8,2015/05/10,2東京6,晴,11,NHKマイルC(G1),201505020611,,18,8,17,27.3,9,8,田辺裕信,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:34.1,0.6,**,7-5,35.3-34.2,34.5,476(0),,,クラリティスカイ,
9,2015/01/31,1東京1,晴,10,クロッカスS(OP),201505010110,,14,1,1,2.2,1,1,田辺裕信,56,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:22.7,-0.1,**,7-8,35.5-35.2,34.7,476(+6),,,(ブリクスト),"1,931.5"
10,2014/11/08,5東京1,曇,11,京王杯2歳S(G2),201405050111,,12,7,9,2.7,1,3,田辺裕信,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.8,0.3,**,7-7,35.4-34.1,33.7,470(0),,,セカンドテーブル,906.2
11,2014/10/26,4東京7,曇,9,くるみ賞(500万下),201405040709,,13,4,5,1.4,1,1,田辺裕信,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:21.7,0.0,**,3-4,35.2-34.6,34.2,470(+6),,,(アンブリカル),"1,008.0"
12,2014/08/31,2新潟10,晴,11,新潟2歳S(G3),201404021011,,18,1,2,19.6,6,3,田辺裕信,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:33.6,0.2,**,6-6,35.2-34.3,33.9,464(0),,,ミュゼスルタン,759.0
13,2014/07/12,2福島3,晴,6,2歳新馬,201403020306,,15,8,14,1.8,1,1,田辺裕信,54,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:09.8,-0.7,**,2-2,34.7-35.1,34.9,464(0),,,(タケショウビクター),700.0
