,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,稍,良,重,不,17,18,19,20,21,22,23,24,25,26,27,28
0,2011/03/27,2阪神2,晴,11,高松宮記念(G1),201109020211,,16,2,4,4.5,3.0,1,リスポリ,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:07.9,-0.2,**,4-3,33.6-34.3,34.0,494(-10),,,(サンカルロ),"9,840.2"
1,2011/03/05,2中山3,晴,11,夕刊フジオーシャンS(G3),201106020311,,16,5,10,3.6,2.0,2,リスポリ,59,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:07.9,0.1,**,15-11,33.6-34.2,33.4,504(0),,,ダッシャーゴーゴー,"1,616.8"
2,2010/12/18,5阪神5,晴,11,阪神C(G2),201009050511,,17,7,14,3.9,2.0,1,スミヨン,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.3,0.0,**,4-4,34.6-34.5,34.3,504(+6),,,(レッドスパーダ),"7,131.6"
3,2010/11/21,6京都6,晴,11,マイルチャンピオンS(G1),201008060611,,18,8,17,7.2,3.0,13,ムーア,57,1.0,0.0,1600,0.0,1.0,0.0,0.0,**,1:32.5,0.7,**,8-10,33.7-35.1,34.9,498(-2),,,エーシンフォワード,
4,2010/10/03,4中山8,晴,11,スプリンターズS(G1),201006040811,,16,7,14,5.6,3.0,2,四位洋文,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:07.6,0.2,**,9-6,33.3-34.1,33.9,500(-4),,,ウルトラファンタジー,"3,897.2"
5,2010/09/12,4阪神2,晴,10,セントウルS(G2),201009040210,,15,1,2,,,取,四位洋文,59,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,,,**,,33.9-34.1,,計不,,,ダッシャーゴーゴー,
6,2010/03/28,2中京8,曇,11,高松宮記念(G1),201007020811,,18,3,6,3.7,1.0,1,四位洋文,57,1.0,0.0,1200,0.0,1.0,0.0,0.0,**,1:08.6,0.0,**,7-6,33.5-35.1,34.6,504(0),,,(ビービーガルダン),"9,882.2"
7,2010/03/06,2中山3,雨,11,夕刊フジオーシャンS(G3),201006020311,,16,2,3,4.2,2.0,1,四位洋文,58,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:09.8,0.0,**,9-5,33.4-36.4,35.7,504(0),,,(エーシンエフダンズ),"4,063.7"
8,2009/12/20,5阪神6,晴,11,阪神C(G2),200909050611,,18,1,2,4.7,1.0,1,Ｍデムー,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.4,-0.2,**,16-11,33.7-35.3,34.7,504(+8),,,(プレミアムボックス),"7,138.6"
9,2009/10/31,4京都7,晴,11,毎日放送賞スワンS(G2),200908040711,,18,6,12,8.6,4.0,1,スミヨン,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:20.3,0.0,**,4-3,34.7-34.2,33.9,496(0),,,(アーリーロブスト),"6,141.4"
