,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,障,1,稍,良,不,重,16,17,18,19,20,21,22,23,24,25,26,27
0,2005/12/25,5阪神8,晴,9,三木ホースランドJS(OP),,12,2,2,1.6,1,1,熊沢重文,61,0.0,0.0,1.0,3900,0.0,1.0,0.0,0.0,,4:20.7,-0.6,,1-1-1-1,106.0-40.1,13.4,514(-4),,,(コウエイトライ),"1,829.4"
1,2005/11/26,5京都7,晴,4,障害3歳上OP,,14,4,5,2.1,1,1,熊沢重文,60,0.0,0.0,1.0,3170,0.0,1.0,0.0,0.0,,3:32.9,-0.8,,1-1-1-1,108.0-39.3,13.4,518(+8),,,(テイエムマッチョ),"1,500.0"
2,2005/11/05,5東京1,晴,8,秋陽ジャンプS(OP),,14,2,2,2.5,1,2,熊沢重文,59,0.0,0.0,1.0,3300,0.0,1.0,0.0,0.0,,3:40.8,0.9,,1-1-1-1,105.0-37.9,13.4,510(-4),,,テレジェニック,728.6
3,2005/10/22,4京都5,曇,4,障害3歳上未勝利,,14,5,7,6.8,3,1,熊沢重文,60,0.0,0.0,1.0,2910,0.0,1.0,0.0,0.0,,3:16.6,-0.9,,1-1-1-1,105.0-38.0,13.5,514(+6),,,(ファントムスズカ),850.0
4,2005/08/07,2函館8,曇,10,五稜郭特別(1000万下),,13,7,10,92.2,10,13,古川吉洋,57,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,,1:53.0,2.6,,9-9-8-8,37.4-35.8,37.7,508(+6),,,ユキノアメージング,
5,2005/07/24,2函館4,晴,12,長万部特別(1000万下),,13,5,6,22.8,9,10,小林徹弥,57,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.6,0.7,,6-6,34.6-35.3,35.6,502(-8),,,カラメルアート,
6,2005/07/02,1函館5,晴,11,函館日刊スポーツ杯(1000万下),,14,8,14,10.4,5,8,小林徹弥,55,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.6,0.4,,4-2,34.5-35.7,35.8,510(+4),,,パレスエベレスト,
7,2005/06/18,1函館1,曇,11,TVh杯(1000万下),,15,8,14,40.5,8,13,小林徹弥,57,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:10.5,1.1,,2-2,33.9-35.5,36.6,506(+4),,,ナチュラルリーダー,
8,2005/02/27,1阪神2,曇,11,阪急杯(G3),,16,1,1,191.2,15,12,小林徹弥,56,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.4,0.9,,8-8,33.7-34.8,34.8,502(+2),,,キーンランドスワン,
9,2005/01/29,1東京1,曇,11,根岸S(G3),,16,3,6,178.8,15,11,梶晃啓,55,1.0,0.0,0.0,1400,0.0,1.0,0.0,0.0,,1:25.1,2.1,,10-11,35.0-35.7,36.8,500(0),,,メイショウボーラー,
10,2005/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),,16,8,15,183.0,13,11,小林徹弥,51,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:34.7,0.7,,14-14,35.0-35.6,34.5,500(-6),,,ハットトリック,
11,2004/12/11,3中京3,晴,11,中日新聞杯(G3),,16,3,5,81.1,15,12,小林徹弥,54,0.0,1.0,0.0,1800,0.0,1.0,0.0,0.0,,1:47.6,1.3,,11-11-11-10,35.2-35.9,35.6,506(-2),,,プリサイスマシーン,
12,2004/11/28,5京都8,晴,11,アンドロメダS(OP),,18,1,1,35.8,11,11,小林徹弥,52,0.0,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:09.5,0.9,,13-13,34.1-34.5,34.3,508(+4),,,リミットレスビッド,
13,2004/11/14,5東京4,曇,11,オーロC(OP),,18,1,1,17.2,6,17,田中勝春,52,0.0,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:23.3,1.7,,1-1,34.1-35.6,37.3,504(+8),,,シャイニンルビー,
14,2004/05/09,2東京6,雨,11,NHKマイルC(G1),,18,2,4,17.5,6,14,岡部幸雄,57,0.0,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:35.0,2.5,,11-9,33.9-34.7,36.4,496(+2),,,キングカメハメハ,
